2023-10-21 22:43:50,555 p=128758 u=igor n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-10-21 22:56:08,065 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:08,072 p=128758 u=igor n=ansible | TASK [zabbix : Enable service zabbix-server] ***************************************************************************************
2023-10-21 22:56:09,306 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:09,318 p=128758 u=igor n=ansible | RUNNING HANDLER [zabbix-agent : zabbix-agent] **************************************************************************************
2023-10-21 22:56:10,172 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:10,181 p=128758 u=igor n=ansible | PLAY RECAP *************************************************************************************************************************
2023-10-21 22:56:10,182 p=128758 u=igor n=ansible | 158.160.45.111             : ok=10   changed=8    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-21 22:56:10,182 p=128758 u=igor n=ansible | 172.16.121.20              : ok=22   changed=16   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-21 22:56:10,182 p=128758 u=igor n=ansible | 172.16.121.21              : ok=33   changed=28   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-21 22:56:10,182 p=128758 u=igor n=ansible | 172.16.121.29              : ok=8    changed=7    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-21 22:56:10,183 p=128758 u=igor n=ansible | 172.16.121.33              : ok=21   changed=19   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-21 22:56:10,183 p=128758 u=igor n=ansible | 172.16.122.6               : ok=21   changed=19   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-22 00:47:10,922 p=1159 u=igor n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2023-10-22 00:47:11,229 p=1159 u=igor n=ansible | PLAY [bastion-elvm] ****************************************************************************************************************
2023-10-22 00:47:11,244 p=1159 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-22 00:47:12,603 p=1159 u=igor n=ansible | ok: [51.250.79.68]
2023-10-22 00:47:12,612 p=1159 u=igor n=ansible | TASK [bastion : Install squid] *****************************************************************************************************
2023-10-22 00:47:45,601 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:47:45,611 p=1159 u=igor n=ansible | TASK [bastion : Install apache2-utils] *********************************************************************************************
2023-10-22 00:47:48,844 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:47:48,851 p=1159 u=igor n=ansible | TASK [bastion : Copy squid.conf] ***************************************************************************************************
2023-10-22 00:47:49,854 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:47:49,860 p=1159 u=igor n=ansible | TASK [bastion : Copy auth_users] ***************************************************************************************************
2023-10-22 00:47:50,461 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:47:50,467 p=1159 u=igor n=ansible | TASK [bastion : stopped squid] *****************************************************************************************************
2023-10-22 00:48:23,181 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:48:23,189 p=1159 u=igor n=ansible | TASK [bastion : request shell squid] ***********************************************************************************************
2023-10-22 00:48:23,830 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:48:23,836 p=1159 u=igor n=ansible | TASK [bastion : started squid] *****************************************************************************************************
2023-10-22 00:48:24,342 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:48:24,347 p=1159 u=igor n=ansible | TASK [bastion : enable squid] ******************************************************************************************************
2023-10-22 00:48:24,785 p=1159 u=igor n=ansible | ok: [51.250.79.68]
2023-10-22 00:48:24,790 p=1159 u=igor n=ansible | TASK [bastion : reconfigure squid] *************************************************************************************************
2023-10-22 00:48:25,117 p=1159 u=igor n=ansible | changed: [51.250.79.68]
2023-10-22 00:48:25,131 p=1159 u=igor n=ansible | PLAY [websrv-elvm] *****************************************************************************************************************
2023-10-22 00:48:25,137 p=1159 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-22 00:48:26,474 p=1159 u=igor n=ansible | ok: [172.16.121.10]
2023-10-22 00:48:26,561 p=1159 u=igor n=ansible | ok: [172.16.122.10]
2023-10-22 00:48:26,572 p=1159 u=igor n=ansible | TASK [nginx : Install nginx] *******************************************************************************************************
2023-10-22 00:48:59,948 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:04,732 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:04,744 p=1159 u=igor n=ansible | TASK [nginx : Copy config] *********************************************************************************************************
2023-10-22 00:49:05,846 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:06,037 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:06,048 p=1159 u=igor n=ansible | TASK [nginx : Copy index.html] *****************************************************************************************************
2023-10-22 00:49:07,089 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:07,201 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:07,207 p=1159 u=igor n=ansible | TASK [nginx : replace in sql files] ************************************************************************************************
2023-10-22 00:49:07,774 p=1159 u=igor n=ansible | [WARNING]: Consider using the replace, lineinfile or template module rather than running 'sed'.  If you need to use command because
replace, lineinfile or template is insufficient you can add 'warn: false' to this command task or set 'command_warnings=False' in
ansible.cfg to get rid of this message.

2023-10-22 00:49:07,774 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:07,909 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:07,915 p=1159 u=igor n=ansible | TASK [nginx : Restart nginx] *******************************************************************************************************
2023-10-22 00:49:08,631 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:08,730 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:08,736 p=1159 u=igor n=ansible | TASK [zabbix-agent : download zabbix agent file with proxy] ************************************************************************
2023-10-22 00:49:10,266 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:10,348 p=1159 u=igor n=ansible | changed: [172.16.122.10]
2023-10-22 00:49:10,354 p=1159 u=igor n=ansible | TASK [zabbix-agent : Install zabbix agent] *****************************************************************************************
2023-10-22 00:49:12,066 p=1159 u=igor n=ansible | changed: [172.16.121.10]
2023-10-22 00:49:12,205 p=1159 u=igor n=ansible | changed: [172.16.122.10]
